ID	FORCE	NAME
AFC-CSO-ACK	SHOULD	Acknowledge Receipt
AFC-CSO-CRA	MUST	Complete Required Actions
AFC-CSO-EMR	MUST	Emergency Message Routing
AFC-CSO-IMA	SHOULD	Important Message Actions
AFC-CSO-INB	MUST	Maintain a FedRAMP Security Inbox
AFC-CSO-NOC	MUST	Notification of Changes
AFC-CSO-RCV	MUST	Receive Email Without Disruption
AFC-CSO-TFG	MUST	Trust @fedramp.gov and @gsa.gov
AFC-FRP-CDS	MUST	Criticality Designators
AFC-FRP-COR	MUST	Explain Corrective Actions
AFC-FRP-ERT	MUST	Elevated Reaction Timeframes
AFC-FRP-PNT	MUST	Public Notice of Emergency Tests
AFC-FRP-RPM	MAY	Reaction Metrics
AFC-FRP-RQA	MUST	Required Actions
AFC-FRP-UFS	MUST	Use FedRAMP_Security Email in Emergencies
AFC-FRP-VRE	MUST	Verified Emails
CCM-AGM-CSC	SHOULD	Consider Security Category
CCM-AGM-ROR	MUST	Review Ongoing Reports
CCM-OCR-AFS	MUST	Anonymized Feedback Summary
CCM-OCR-AVL	MUST	Report Availability
CCM-OCR-FBM	MUST	Feedback Mechanism
CCM-OCR-LSI	MUST NOT	Limit Sensitive Information
CCM-OCR-NRD	MUST	Next Report Date
CCM-OCR-RPS	MAY	Responsible Public Certification Report Sharing
CCM-OCR-SOR	SHOULD	Spread Out Reports
CCM-QTR-ACT	SHOULD	Additional Content
CCM-QTR-MTG	VARIES	Quarterly Review Meeting
CCM-QTR-NID	MUST NOT	No Irresponsible Disclosure
CCM-QTR-NRD	MUST	Next Review Date
CCM-QTR-REG	MUST	Meeting Registration Info
CCM-QTR-RTP	SHOULD NOT	Restrict Third Parties
CCM-QTR-RTR	SHOULD	Record/Transcribe Reviews
CCM-QTR-SAR	SHOULD	Schedule Around Reports
CCM-QTR-SCR	MAY	Share Content Responsibly
CCM-QTR-SRR	MAY	Share Recordings Responsibly
CDS-CSF-TCM	MUST	Trust Center Migration
CDS-CSO-AVR	VARIES	Availability Reporting
CDS-CSO-CBF	MUST	Consistency Between Formats
CDS-CSO-FID	MUST	Always Include FedRAMP ID
CDS-CSO-FRC	MUST	FedRAMP Certification Reports
CDS-CSO-HAD	MUST	Historical FedRAMP Certification Data
CDS-CSO-IRP	MUST	Include Relevant Policies
CDS-CSO-PSM	VARIES	Per-Service Certification Materials
CDS-CSO-PUB	MUST	Public Information
CDS-CSO-RIS	MUST	Responsible Information Sharing
CDS-CSO-RPS	MAY	Responsible Public Package Sharing
CDS-CSO-SVC	MUST	Public Service List
CDS-CSO-UTC	MUST	Use Trust Centers
CDS-TRC-AAI	MUST	Agency Access Inventory
CDS-TRC-ACL	MUST	Access Logging
CDS-TRC-HMR	SHOULD	Human and Machine-Readable Certification Data
CDS-TRC-PAC	MUST	Programmatic Access
CDS-TRC-SSM	SHOULD	Self-Service Access Management
CDS-TRC-USH	MUST	Uninterrupted Sharing
CDS-UTC-AAD	MUST	Agency Access Denial
CDS-UTC-AGA	SHOULD	Agency Access
CMU-CSO-CAT	SHOULD	Configuration of Agency Tenants
CMU-CSO-CMD	MUST	Cryptographic Module Documentation
CMU-CSO-UVM	VARIES	Using Validated Cryptographic Modules
CPO-CSF-CPM	MUST	Certification Package Maintenance for Rev5
CPO-CSO-MTD	MUST	Certification Package Overview Metadata
CPO-CSO-OSA	VARIES	Overall Summary of Assessment in Certification Package
CPO-CSO-OVR	MUST	Overview of the Cloud Service Offering
FRC-APP-AFC	MUST	Applying for FedRAMP Certification
FRC-APP-FCP	MUST	Fresh FedRAMP Certification Package
FRC-APP-FIA	VARIES	Fresh Independent Assessment
FRC-APP-MLF	MUST	Marketplace Listing First
FRC-APP-NTP	MUST NOT	No Third-Party Applicants
FRC-APP-USA	MAY	Updating Stale Assessments
FRC-APS-ATO	MUST	Agency Authorization to Operate
FRC-CCL-DCC	MUST	Downgrading Certification Class
FRC-CCL-DNP	SHOULD	Downgrade Notification Period
FRC-CCL-UCC	MUST	Upgrading Certification Class
FRC-CSF-ACP	MUST	Assign Control Parameters
FRC-CSF-BSL	MUST	FedRAMP Rev5 Baselines
FRC-CSF-FFG	MUST	Follow FedRAMP Rev5 Controls Guidance
FRC-CSF-RDY	MUST	FedRAMP Ready Conversion
